Support Service Categories,Stage of Orgs Supported,Industries Supported,Demographics Supported,Languages Supported,Name of Organization,Description of Organization,Testimonial,Location of Organization,Phone Number,Email One,Email Two,Email Three,Website of Organization,Facebook URL,Twitter URL,Instagram URL,Linkedin URL,YouTube URL,Meetup URL,Preferred Contact,Preferred Email,Business Hours,Messaging On/Off,Referral Code On/Off,Referral Code,Referral Code Description,Referral Code Expiration
"Business Setup ,Education & Training ,Arts & Entertainment ,Black-Owned Businesses","Idea ,Minimum Viable Product ,Proof of Concept ,Revenue from Customers ,First Round of Investments ,Growth","Arts, Entertainment, & Creative Economy ,Education & Training","Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,The Entrepreneur Gamy by EE Speaks,"The Entrepreneur Game is a fun, educational & interactive game for the whole family! The Entrepreneur Game is the world's 1st & only STEM certified entrepreneur board game by EE SPeaks.",,"Richmond, VA, USA",(804) 855-4377,info@entrepreneurboardgame.com,info@entrepreneurboardgame.com,info@entrepreneurboardgame.com,http://entrepreneurboardgame.com/,https://www.facebook.com/TheEntrepreneurGamebyEESpeaks/?ref=page_internal,,https://www.instagram.com/theentrepreneurgame/,,https://www.youtube.com/channel/UCPQjXYL_8cGu0-fXGDHmv8Q/featured,,,,,off,off,,,
"Team, Talent, & Human Resources ,Strategic Planning ,Black-Owned Businesses ,Business Directory",Revenue from Customers,Management & Consulting,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,"Allaso Performance Solutions, Inc","Allaso Performance Solutions (APS) is a multi-faceted, management and consulting company focused on leading people, teams, and change. Our solutions approach is grounded in People & Talent , Strategic Planning, Operations, and Systems.",,"Champaign, IL, USA",,info@allasoperformancesolutions.com,info@allasoperformancesolutions.com,info@allasoperformancesolutions.com,https://www.allasops.com/,https://www.facebook.com/AllasoPS,https://twitter.com/AllasoPS,https://www.instagram.com/allasops/,https://www.linkedin.com/company/allaso-performance-solutions-inc/,,,,,,off,off,,,
"Community Support ,Location Services & Real Estate Development ,Civil Rights, Social Action & Advocacy ,Business Directory",Revenue from Customers,,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Housing Authority of Champaign County,"The Housing Authority of Champaign County (HACC) is a municipal corporation organized pursuant to the Illinois Housing Authority Act. The jurisdiction of HACC includes all incorporated and unincorporated areas of the County of Champaign, Illinois.",,"2008 North Market Street, Champaign, IL, USA",(217) 378-7100,concerns@hacc.net,concerns@hacc.net,concerns@hacc.net,http://hacc.net/,https://www.facebook.com/HousingAuthorityChampaignCounty,https://twitter.com/HAofChampaign,,,,,,,,off,off,,,
"Service Providers ,Small Businesses ,Black-Owned Businesses ,Business Directory",Revenue from Customers,Consumer Products & Services,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Ladies First Beauty Supply,Black-Owned Beauty Supply Store; Serving Women Of All Kind,,"1807 West Bradley Avenue, Champaign, IL, USA",(217) 550-8597,ladiesfirstbeautysupply@gmail.com,ladiesfirstbeautysupply@gmail.com,ladiesfirstbeautysupply@gmail.com,,https://www.facebook.com/Ladiesfirstbeautysupply,https://twitter.com/Ladiesfirst_BS?fbclid=IwAR0J2G2J1FeR--OPT69LVdmnfgMwaT-EnnrDtwJX4AyNDQNvZHS72-Kx2bk,https://www.instagram.com/Ladiesfirstbeautysupply/?fbclid=IwAR1at4B8zhkYU0AiA4QUBSY43NXnD0hQHVq1_D4tOLr-Pvd7jNSLmU71dJo,,,,,,,off,off,,,
"Service Providers ,Civil Rights, Social Action & Advocacy ,Black-Owned Businesses ,Business Directory","Revenue from Customers ,Growth","Consumer Products & Services ,Health & Medical","Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Forever Healing Us,"Health & Wellness - promoting health is a full-time job. Sustaining wellness takes a lifetime. I am a healer inspiring many to heal themselves. I am forever healing Heather. I am Forever Healing. I am Forever Healing Us. 

?",,"Champaign, IL, USA",,foreverhealingus@gmail.com,hjrose03@gmail.com,foreverhealingus@gmail.com,https://hjrose03.wixsite.com/heatherjevan,https://www.facebook.com/foreverhealingus,,https://www.instagram.com/foreverhealingheather/?fbclid=IwAR1pMc9rRi6fzwroc0-3LFW4k36kenzVs2923h0Y_4mKIoqL4vJEa1h8sJY,,,,,,,off,off,,,
"Education & Training ,Arts & Entertainment ,Black-Owned Businesses ,Business Directory","Idea ,Minimum Viable Product ,Growth",Education & Training,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Ghetto Genius Universe,"Ghetto Genius Universe is a space where the cultural wealth of undervalued, underestimated, and marginalized places and people are validated and celebrated through connections that lead to new knowledge production and distribution.",,"Urbana, IL, USA",(217) 778-5309,wmpatter@gmail.com,wmpatter@gmail.com,wmpatter@gmail.com,,https://www.facebook.com/ghettogeniusuniverse,,https://www.instagram.com/ghettogeniusuniverse/,,,,,,,off,off,,,
"Design Services ,Small Businesses ,Black-Owned Businesses ,Business Directory",Revenue from Customers,Consumer Products & Services,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Buttah's Creation,"Hand-crafted items: jewelry for women, men, and children. also do tumblers and t-shirts, and gift baskets",,"Champaign, IL, USA",,www.buttahscreations18@yahoo.com,www.buttahscreations18@yahoo.com,www.buttahscreations18@yahoo.com,,https://www.facebook.com/buttahp313,,https://www.instagram.com/buttahs_creation/?fbclid=IwAR2akK48_5WADMCvW-iTXl8b-NBtAGCCUT3TJxkldEYaWIrPeDltS5GbQV0,,,,,,,off,off,,,
"Service Providers ,Small Businesses ,Black-Owned Businesses ,Business Directory",Revenue from Customers,"Freelance Services ,Environment & Sustainability","Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Squeaky Clean Cleaning with a Smile LLC,"If you need fantastic quality yet affordable cleaning services in the area, look no further than Squeaky Clean Cleaning! We are at your disposal anywhere you might need us in Champaign, IL, and the city so doesn’t think twice about reaching out to us any time you need us!",,"Champaign, IL, USA",(217) 819-8072,squeakycleancleaning111@gmail.com,,,https://squeakycleancleaningil.com/,https://www.facebook.com/Squeaky.Clean.Cleaning2018/about/?ref=page_internal,,,,,,,,,off,off,,,
"Education & Training ,Service Providers ,Civil Rights, Social Action & Advocacy ,Business Directory",Revenue from Customers,,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,CU Trauma & Resilience Initiative,CU Trauma & Resilience initiative is a collaboration of organizations and individuals dedicated to making Champaign-Urbana a trauma-informed community.,,"Urbana, IL, USA",(217) 931-9971,traumaresilience.inc@gmail.com,traumaresilience.inc@gmail.com,traumaresilience.inc@gmail.com,http://www.traumaresilienceinc.org/,https://www.facebook.com/CUTraumaResilience,https://twitter.com/CUresiliency?fbclid=IwAR2kNNEUPoMprRmSu-JYiSxDCjQ1mwXgPf13KM7QRDysCBohoKIdBqXcfvs,,,,,,,,off,off,,,
"Community Support ,Civil Rights, Social Action & Advocacy ,Black-Owned Businesses ,Business Directory",Revenue from Customers,Impact & Social Enterprise,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,HV Neighborhood Transformation,"HV Neighborhood Transformation’s mission is to actualize the ability high-hope areas have to thrive by putting an end to violence in under-served communities, connecting those communities to profitable resources, and enhancing social activism.",,"116 W Main St, Urbana, IL, USA",,info@hvntransformation.life,info@hvntransformation.life,info@hvntransformation.life,https://hvntransformation.life/,https://www.facebook.com/HVNTransform/?ref=page_internal,,https://www.instagram.com/hvneighborhoodtransformation/,,,,,,,off,off,,,
"Communications, Marketing, & Public Relations ,Service Providers ,Black-Owned Businesses ,Business Directory","Idea ,Minimum Viable Product ,Proof of Concept ,Revenue from Customers ,First Round of Investments ,Growth",,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Headstart Marketing,"We are a marketing and consulting agency that helps entrepreneurs and small businesses take their business to the next level. We offer social media management packages, website design, logo and branding, and 1-on-1 consulting.",,"Champaign, IL, USA",(217) 402-9871,headstartmarktingcu@gmail.com,,,http://headstartmarkting-cu.com/,https://www.facebook.com/HeadStartCU,,,,,,,,,off,off,,,
"Education & Training ,Service Providers ,Black-Owned Businesses ,Business Directory",Revenue from Customers,Education & Training,"Black ,Youth ,Low Income",,Driven to Reach Excellence and Academic Achievement for Males.,DREAAM is a community impact organization with a mission to build a school to college pipeline program for boys and young men ages 5 - 24.,,"Champaign, IL, USA",,info@dreaam.org,info@dreaam.org,info@dreaam.org,https://www.dreaam.org/,https://www.facebook.com/RocktheDREAAMHouse/about/?ref=page_internal,,,,,,,,,off,off,,,
"Food & Beverage ,Small Businesses ,Black-Owned Businesses ,Business Directory",Revenue from Customers,Food & Beverage,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Neil St. Blues,"Neil St. Blues offers fun, great food, drinks, and live entertainment. Enjoy southern-style cuisine for lunch, dinner, or a night-out Downtown Champaign",,"301 North Neil Street, Champaign, IL, USA",(217) 531-1150,info@neilstblues.com,,,,,,,,,,,,,off,off,,,
"Design Services ,Small Businesses ,Black-Owned Businesses ,Business Directory",Revenue from Customers,Retail,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Melanin Made Designs LLC,,,"Urbana, IL, USA",(217) 801-8818,melaninmadedesignsllc@gmail.com,melaninmadedesignsllc@gmail.com,melaninmadedesignsllc@gmail.com,http://melaninmadedesigns.com/,https://www.facebook.com/MelaninMadeDesigns/?ref=page_internal,,https://www.instagram.com/melaninmadedesigns/,,https://www.youtube.com/channel/UCFW7S8vJh0Lb45XFpxWk93w,,,,,off,off,,,
"Service Providers ,Small Businesses ,Black-Owned Businesses","Revenue from Customers ,Growth",Freelance Services,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,"Movers 4 Less, Inc.","Movers 4 Less, Inc. is a full-service moving company that performs both local and nationwide moves. We are fully licensed and insured.",,"Champaign, IL, USA",(217) 721-9671,info@movers4less-il.com,info@movers4less-il.com,info@movers4less-il.com,http://www.Movers4Less-IL.com/,https://www.facebook.com/Movers4Less/,https://twitter.com/Movers4LessInc,,,,,,,,off,off,,,
"Community Support ,Education & Training ,Mentorship ,Business/Entrepreneur Resources",Minimum Viable Product,,"Black ,Latinx ,Youth ,Low Income",,N.A.A.C.P. Champaign County A.C.T.S.O.,"ACT-SO is a yearlong enrichment program designed to recruit, stimulate, and encourage high academic and cultural achievement among African-American high school students. The program relies on the dedication and commitment of community and business leaders who volunteer as mentors and coaches to promote academic and artistic excellence. Through this collaborative effort, participating students develop the confidence and skills needed to excel in school and in life.",,"Champaign, IL, USA",217.898.7566,actso@naacpcc.org,actso@naacpcc.org,actso@naacpcc.org,http://naacpcc.org/actso/,https://www.facebook.com/actso/?ref=page_internal,,,,,,,,,off,off,,,
"Community Support ,Civil Rights, Social Action & Advocacy ,Black-Owned Businesses ,Business Directory",Revenue from Customers,,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Paign To Peace,A group of diverse young adults looking to create a change in our community.,,"Champaign, IL, USA",,paigntopeace@gmail.com,paigntopeace@gmail.com,paigntopeace@gmail.com,http://paigntopeace.wix.com/mysite,https://www.facebook.com/PaignToPeace,https://twitter.com/PaignToPeace,https://www.instagram.com/paigntopeace/,,,,,,,off,off,,,
"Location Services & Real Estate Development ,Black-Owned Businesses ,Business Directory",Revenue from Customers,"Construction, Renovation & Contractors","Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Veya Inc,"VEYA Inc. is a locally owned concrete construction company located in Champaign, IL. We are committed to meeting our customers' expectations of quality work that is completed on time and budget.  We perform residential, commercial, and government concrete services throughout Illinois.",,"601 South Country Fair Drive, Champaign, IL 61821, USA",217-607-1500,,,,http://www.veyainc.com/,,,,,,,,,,off,off,,,
"Health & Wellness ,Civil Rights, Social Action & Advocacy ,Black-Owned Businesses ,Business Directory","Revenue from Customers ,Growth",Health & Medical,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,The Well Experience Inc.,"The Well Experience is a 501(c)(3) nonprofit organization founded by Stephanie Cockrell. We provide a variety of services in support of the growth, awareness, education, protection, and resiliency of women, girls, teens, and families.",,"1803 Philo Road, Urbana, IL 61802, USA",(217) 530-0147,thewellexperienceinc@gmail.com,thewellexperienceinc@gmail.com,thewellexperienceinc@gmail.com,http://thewellexperience.org/,https://www.facebook.com/HEREatTheWELL,https://twitter.com/HEREattheWell,https://www.instagram.com/thewellexperienceinc/,,https://www.youtube.com/channel/UC2BGR0lDPD6ZJgYS2ClmYlQ,,,,,off,off,,,
"Health & Wellness ,Civil Rights, Social Action & Advocacy ,Black-Owned Businesses ,Business Directory",Revenue from Customers,Nonprofits,"Black ,Woman",,The Pedestal Project,"The Pedestal Project, LLC is an online space and organization devoted to uplifting Black Women through restoration, validation, and affirmation. Validating your experiences, restoring your spiritual wholeness, and affirming your divine gifts.",,"Champaign, IL, USA",,pedestalprojectorg@gmail.com,pedestalprojectorg@gmail.com,pedestalprojectorg@gmail.com,http://www.pedestalproject.com/,https://www.facebook.com/pedestalproject,https://twitter.com/PedestalProject,https://www.instagram.com/pedestalproject/,,,,,,,off,off,,,
"Education & Training ,Government ,Service Providers ,Business/Entrepreneur Resources",Revenue from Customers,,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Illinois WorkNet Center,"Illinois workNet is the state's primary workforce portal connecting individuals, employers, workforce, and education partners to resources and tools to meet workforce goals in employment, education, community, and statewide initiatives.",,"1307 N Mattis Ave, Champaign, IL 61821, USA",,info@illinoisworknet.com,info@illinoisworknet.com,info@illinoisworknet.com,https://www.illinoisworknet.com/,https://www.facebook.com/illinois.worknet,https://twitter.com/ILworkNet,,https://www.linkedin.com/company/IllinoisworkNet,https://www.youtube.com/IllinoisworkNet,,,,,off,off,,,
"Service Providers ,Black-Owned Businesses ,Event Planning & Logistics ,Business Directory",Revenue from Customers,,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Luxe Balloons & Backdrops by T. Nickole,"We offer balloon decor. We create, style, and install balloon decor for all occasions. We also stock fabric backdrops, circular stands, and boxwood (greenery) backdrops.",,"Champaign, IL, USA",(217) 722-1707,info@luxeedd.com,,,http://www.luxeedd.com/,https://www.facebook.com/luxeedd,,https://www.instagram.com/luxeedd/,,,,,,,off,off,,,
"Community Support ,Service Providers ,Black-Owned Businesses ,Business Directory",Revenue from Customers,HR & Administrative Services,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,"Nannyville, LLC","Your search for the best local sitters is over! Here at Nannyville we recruit, background check, and hire Champaign-Urbana’s top sitters. Whether you need a full or part-time nanny, a weekend sitter, or a backup child care solution, we are here to help!",,"702 Bloomington Rd, Champaign, IL 61820, USA",(217) 330-5084,info@nannyville-cu.com,info@nannyville-cu.com,info@nannyville-cu.com,http://nannyville-cu.com/,https://www.facebook.com/NannyvilleCU,https://twitter.com/NannyvilleCU,https://www.instagram.com/nannyvillecu/,,,,,,,off,off,,,
"Food & Beverage ,Black-Owned Businesses ,Business Directory",Revenue from Customers,Food & Beverage,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,"Nothing Bundt Cakes (Champaign, IL)","To find the perfect recipe, you first need the perfect ingredients. And that's what our founders Dena Tripp and Debbie Shwetz were for each other. In 1997, they joined forces, or better yet kitchens, to help make cakes to entertain their friends. The cakes they made were delicious, unlike anything anyone had tasted. As a result, their friends and family asked them to entertain more and more. They quickly realized this side project of theirs could be something more. There was a gap in the world for delicious cakes, readily available, that didn't compromise on their ingredients. Fresh eggs, real butter, and real cream cheese; nothing was too good to achieve perfection. And perfection is those decadent, slowly melting bites, we all know and love. Flash forward and the Nothing Bundt Cakes brand has grown nationwide. Built on Dena and Debbie's vision, each bakery still has the warmth and nostalgia of its home-kitchen roots, but they also take a modern approach for the world today.",,"408 W Town Center Blvd, Champaign, IL 61822, USA",(217) 888-2253,champaign@nothingbundtcakes.com,champaign@nothingbundtcakes.com,champaign@nothingbundtcakes.com,http://nothingbundtcakes.com/bakery/IL/champaign?utm_source=facebook&utm_medium=yext,https://www.facebook.com/NothingBundtCakesChampaignIL,,,,,,,,,off,off,,,
"Education & Training ,Team, Talent, & Human Resources ,Diversity, Equity, & Inclusion ,Black-Owned Businesses ,Business Directory","Revenue from Customers ,Growth",Education & Training,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Monarch Training and Development,"We provide high-quality, engaging WORKshops and consulting services to equip leaders and their teams with the tools to create racially equitable organizations and communities",,,(515) 462-0323,info@monarchtd.com,,,https://www.monarchtd.com/,https://www.facebook.com/MonarchTD,https://twitter.com/dat_dude_dullah,https://www.instagram.com/dat_dude_dullah/,,,,,,,off,off,,,
"Design Services ,Black-Owned Businesses ,Business Directory",Revenue from Customers,Consumer Products & Services,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,DA' BALL OUT BRAND,Welcome to DA BALL OUT BRAND Custom Tea shirts and More!! Gastonia NC,,,7045243821,lovellgillispie@gmail.com,lovellgillispie@gmail.com,lovellgillispie@gmail.com,https://daballoutbrand.com/,https://www.facebook.com/DA-BALL-OUT-BRAND-104040101793209/about,,,,,,,,,off,off,,,
"Education & Training ,Information Technology ,Black-Owned Businesses ,Business Directory",Revenue from Customers,,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,We Code KC,"WE CODE KC is an initiative that serves the urban core of Kansas City focusing on exposing technology, cybersecurity, and computer science concepts to area youth.",,,(816) 382-5966,learntech@wecodekc.org,learntech@wecodekc.org,learntech@wecodekc.org,http://www.wecodekc.org/,https://www.facebook.com/WeCodeKC,https://twitter.com/wecodekc,https://www.instagram.com/wecodekc/,,https://www.youtube.com/channel/UCjKKCQIwWDrEiaVWNmZiStQ,,,,,off,off,,,
"Service Providers ,Black-Owned Businesses ,Business Directory",Revenue from Customers,Consumer Products & Services,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,The Royal Academy Arcola,The Royal Academy Arcola is a full-service childcare facility providing early childhood education for children ages 2-4. Kidz S.T.E.A.M. Power Lab a during and after school remote learning option with homework assistance for children ages 5-12.,,"1000 Illinois 133, Arcola, Illinois, USA",(217) 268-5120,inquire@theroyal.academy,inquire@theroyal.academy,inquire@theroyal.academy,http://www.theroyal.academy/,https://www.facebook.com/TheRoyalAcademyArcola,https://twitter.com/TRA_Arcola,https://www.instagram.com/theroyalacademyarcola/,,,,,,,off,off,,,
"Service Providers ,Social Spaces ,Business/Entrepreneur Resources",Revenue from Customers,,"Black ,Woman ,Youth ,Low Income",,Bruce D. Nesbitt African American Cultural Center,"We provide programs and services promoting the individual, cultural, and academic growth of Illinois' Black students and the campus overall.",,"1212 West Nevada Street, Urbana, IL, USA",(217) 333-2092,bnaacc@illinois.edu,bnaacc@illinois.edu,bnaacc@illinois.edu,http://oiir.illinois.edu/bnaacc,https://www.facebook.com/bnaacc,https://twitter.com/BNAACC_Illinois,https://www.instagram.com/bnaacc_illinois/,,,,,,,off,off,,,
"Health & Wellness ,Service Providers ,Black-Owned Businesses ,Business Directory",Revenue from Customers,Health & Medical,"Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Bella's Home Health and Caregiving Services,"At Bella's Home Health and Caregiving Services we strive to be Champaign Urbana and surrounding areas premier Home Health and caregiving service agency. Offering Skilled Nursing and Personal caregiving services. Keeping you happy, healthy, and home.",,"1902 Fox Drive, Champaign, IL, USA",(217) 903-3594,info@bellashomehealth.com,,fmuhammad@bellashomehealth.com,http://www.bellashomehealth.com/,https://www.facebook.com/Bellas-Home-Health-and-Caregiving-Services-103954828258363,,,,,,,,,off,off,,,
"Design Services ,Black-Owned Businesses ,Business Directory",Revenue from Customers,"Consumer Products & Services ,Retail","Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,LEADAZ ATHLETIC FOOTWEAR & SPORTS APPAREL,"LEADAZ ATHLETIC FOOTWEAR & SPORTS APPAREL BORN & RAISED IN THE GREAT CITY OF CHAMPAIGN, ILLINOIS - USA. BRING OUT THE GREAT!",,"Champaign, IL, USA",(217) 607-1341,sales@leadazsports.com,sales@leadazsports.com,sales@leadazsports.com,http://www.leadazsports.com/,https://www.facebook.com/Leadazsports,,https://www.instagram.com/leadazsports/,,,,,,,off,off,,,
"Health & Wellness ,Service Providers ,Black-Owned Businesses ,Business Directory",Revenue from Customers,,"Black ,Asian ,Latinx ,Immigrant ,Returning Citizen ,Woman ,Youth ,Person with a cognitive disability ,Low Income",,CU Trauma & Resilience Initiative,CU Trauma & Resilience initiative is a collaboration of organizations and individuals dedicated to making Champaign-Urbana a trauma-informed community.,,"Urbana, IL, USA",2179319971,traumaresilience.inc@gmail.com,traumaresilience.inc@gmail.com,traumaresilience.inc@gmail.com,http://www.traumaresilienceinc.org/,https://www.facebook.com/CUTraumaResilience/?ref=page_internal,https://twitter.com/CUresiliency?fbclid=IwAR0EpHrCVP7fnzbMOnJWMv7be1fVB5SKy2Ej2492caLFE81FnHVvkfu2SnU,,,,,,,,off,off,,,
"Health & Wellness ,Service Providers",Revenue from Customers,"Consumer Products & Services ,Health & Medical","Black ,Asian ,Latinx ,Immigrant ,LGBTQIA+ ,Middle Eastern North African (MENA) ,American Indian or Alaska Native ,Refugee ,Returning Citizen ,Veteran ,Woman ,Youth ,Person with a physical disability ,Person with a cognitive disability ,Hawaiian or Other Pacific Islander ,Low Income ,Rural",,Soul Care Urban Retreat Center,Soul Care offers resources to nurture the soul through group and individual experiences and a community to support spiritual growth and development.,,"507 South Broadway Avenue, Urbana, IL, USA",(217) 996-1752,info@experiencesoulcare.com,kellyskinner.soulcare@gmail.com,kellyskinner.soulcare@gmail.com,https://experiencesoulcare.com/,https://www.facebook.com/soulcareexperience,,,,https://www.youtube.com/watch?v=nB9SG_Nln8w,,,,,off,off,,,
